ID,Year,Sex,Age,Deaths,Age_Group
1,2020,Female,0.0,7600.0,0-64
2,2020,Female,0.0,1125.0,0-64
3,2020,Female,1.0,303.0,0-64
4,2020,Female,1.0,277.0,0-64
5,2020,Female,2.0,183.0,0-64
6,2020,Female,2.0,193.0,0-64
7,2020,Female,3.0,153.0,0-64
8,2020,Female,3.0,156.0,0-64
9,2020,Female,4.0,118.0,0-64
10,2020,Female,4.0,120.0,0-64
11,2020,Female,5.0,96.0,0-64
12,2020,Female,5.0,114.0,0-64
13,2020,Female,6.0,101.0,0-64
14,2020,Female,6.0,97.0,0-64
15,2020,Female,7.0,100.0,0-64
16,2020,Female,7.0,101.0,0-64
17,2020,Female,8.0,95.0,0-64
18,2020,Female,8.0,98.0,0-64
19,2020,Female,9.0,93.0,0-64
20,2020,Female,9.0,70.0,0-64
21,2020,Female,10.0,94.0,0-64
22,2020,Female,10.0,87.0,0-64
23,2020,Female,11.0,90.0,0-64
24,2020,Female,11.0,113.0,0-64
25,2020,Female,12.0,127.0,0-64
26,2020,Female,12.0,137.0,0-64
27,2020,Female,13.0,135.0,0-64
28,2020,Female,13.0,168.0,0-64
29,2020,Female,14.0,169.0,0-64
30,2020,Female,14.0,177.0,0-64
31,2020,Female,15.0,218.0,0-64
32,2020,Female,15.0,214.0,0-64
33,2020,Female,16.0,264.0,0-64
34,2020,Female,16.0,261.0,0-64
35,2020,Female,17.0,280.0,0-64
36,2020,Female,17.0,312.0,0-64
37,2020,Female,18.0,415.0,0-64
38,2020,Female,18.0,416.0,0-64
39,2020,Female,19.0,459.0,0-64
40,2020,Female,19.0,487.0,0-64
41,2020,Female,20.0,492.0,0-64
42,2020,Female,20.0,483.0,0-64
43,2020,Female,21.0,588.0,0-64
44,2020,Female,21.0,574.0,0-64
45,2020,Female,22.0,572.0,0-64
46,2020,Female,22.0,595.0,0-64
47,2020,Female,23.0,685.0,0-64
48,2020,Female,23.0,654.0,0-64
49,2020,Female,24.0,680.0,0-64
50,2020,Female,24.0,682.0,0-64
51,2020,Female,25.0,756.0,0-64
52,2020,Female,25.0,807.0,0-64
53,2020,Female,26.0,814.0,0-64
54,2020,Female,26.0,800.0,0-64
55,2020,Female,27.0,885.0,0-64
56,2020,Female,27.0,933.0,0-64
57,2020,Female,28.0,986.0,0-64
58,2020,Female,28.0,966.0,0-64
59,2020,Female,29.0,1118.555897,0-64
60,2020,Female,29.0,1074.444103,0-64
61,2020,Female,30.0,1190.0,0-64
62,2020,Female,30.0,1149.0,0-64
63,2020,Female,31.0,1204.0,0-64
64,2020,Female,31.0,1100.0,0-64
65,2020,Female,32.0,1259.0,0-64
66,2020,Female,32.0,1270.0,0-64
67,2020,Female,33.0,1337.0,0-64
68,2020,Female,33.0,1318.0,0-64
69,2020,Female,34.0,1363.0,0-64
70,2020,Female,34.0,1326.0,0-64
71,2020,Female,35.0,1456.0,0-64
72,2020,Female,35.0,1405.0,0-64
73,2020,Female,36.0,1511.0,0-64
74,2020,Female,36.0,1466.0,0-64
75,2020,Female,37.0,1681.0,0-64
76,2020,Female,37.0,1603.0,0-64
77,2020,Female,38.0,1728.0,0-64
78,2020,Female,38.0,1610.0,0-64
79,2020,Female,39.0,1861.0,0-64
80,2020,Female,39.0,1691.0,0-64
81,2020,Female,40.0,1883.0,0-64
82,2020,Female,40.0,1830.0,0-64
83,2020,Female,41.0,2082.0,0-64
84,2020,Female,41.0,1869.0,0-64
85,2020,Female,42.0,1923.0,0-64
86,2020,Female,42.0,1941.0,0-64
87,2020,Female,43.0,2141.0,0-64
88,2020,Female,43.0,2003.0,0-64
89,2020,Female,44.0,2218.0,0-64
90,2020,Female,44.0,2093.0,0-64
91,2020,Female,45.0,2407.6801,0-64
92,2020,Female,45.0,2318.3199,0-64
93,2020,Female,46.0,2552.585952,0-64
94,2020,Female,46.0,2435.414048,0-64
95,2020,Female,47.0,2747.0,0-64
96,2020,Female,47.0,2759.0,0-64
97,2020,Female,48.0,3091.0,0-64
98,2020,Female,48.0,3034.0,0-64
99,2020,Female,49.0,3455.0,0-64
100,2020,Female,49.0,3476.0,0-64
101,2020,Female,50.0,3830.0,0-64
102,2020,Female,50.0,3673.0,0-64
103,2020,Female,51.0,4030.0,0-64
104,2020,Female,51.0,3854.0,0-64
105,2020,Female,52.0,4207.0,0-64
106,2020,Female,52.0,4169.0,0-64
107,2020,Female,53.0,4533.083333,0-64
108,2020,Female,53.0,4602.916667,0-64
109,2020,Female,54.0,5033.0,0-64
110,2020,Female,54.0,5093.0,0-64
111,2020,Female,55.0,5585.404258,0-64
112,2020,Female,55.0,5826.595742,0-64
113,2020,Female,56.0,6341.0,0-64
114,2020,Female,56.0,6302.0,0-64
115,2020,Female,57.0,7045.0,0-64
116,2020,Female,57.0,7033.0,0-64
117,2020,Female,58.0,7547.0,0-64
118,2020,Female,58.0,7339.0,0-64
119,2020,Female,59.0,8285.0,0-64
120,2020,Female,59.0,8262.0,0-64
121,2020,Female,60.0,8959.977914,0-64
122,2020,Female,60.0,8993.022086,0-64
123,2020,Female,61.0,9373.0,0-64
124,2020,Female,61.0,9412.0,0-64
125,2020,Female,62.0,9939.0,0-64
126,2020,Female,62.0,9964.0,0-64
127,2020,Female,63.0,10774.0,0-64
128,2020,Female,63.0,10534.0,0-64
129,2020,Female,64.0,11290.0,0-64
130,2020,Female,64.0,10610.0,0-64
131,2020,Female,65.0,11590.0,65-74
132,2020,Female,65.0,11455.0,65-74
133,2020,Female,66.0,12123.0,65-74
134,2020,Female,66.0,11631.0,65-74
135,2020,Female,67.0,12371.0,65-74
136,2020,Female,67.0,12305.0,65-74
137,2020,Female,68.0,13175.0,65-74
138,2020,Female,68.0,12465.0,65-74
139,2020,Female,69.0,13648.0,65-74
140,2020,Female,69.0,12898.0,65-74
141,2020,Female,70.0,14006.0,65-74
142,2020,Female,70.0,14086.0,65-74
143,2020,Female,71.0,15386.0,65-74
144,2020,Female,71.0,15030.0,65-74
145,2020,Female,72.0,16621.0,65-74
146,2020,Female,72.0,16278.0,65-74
147,2020,Female,73.0,18528.0,65-74
148,2020,Female,73.0,17498.0,65-74
149,2020,Female,74.0,16740.0,65-74
150,2020,Female,74.0,14687.0,65-74
151,2020,Female,75.0,16298.0,75-84
152,2020,Female,75.0,16163.0,75-84
153,2020,Female,76.0,17720.25808,75-84
154,2020,Female,76.0,17504.74192,75-84
155,2020,Female,77.0,20023.0,75-84
156,2020,Female,77.0,18862.0,75-84
157,2020,Female,78.0,19889.0,75-84
158,2020,Female,78.0,17961.0,75-84
159,2020,Female,79.0,19729.0,75-84
160,2020,Female,79.0,18287.0,75-84
161,2020,Female,80.0,20484.0,75-84
162,2020,Female,80.0,18764.0,75-84
163,2020,Female,81.0,20763.0,75-84
164,2020,Female,81.0,19898.0,75-84
165,2020,Female,82.0,22220.0,75-84
166,2020,Female,82.0,20490.0,75-84
167,2020,Female,83.0,22247.0,75-84
168,2020,Female,83.0,20822.0,75-84
169,2020,Female,84.0,23280.0,75-84
170,2020,Female,84.0,21822.0,75-84
