ID,Year,Age_Group,State,Medicare_Medicaid_Status,Race,Sex,Medicare_Enrollment_Status,Age_Grouping,Urban_Rural_Description,Total_Eligible_Users,Total_Medicare_Enrollment,Total_Telehealth_Users,Percentage_of_Medicare_Telehealth_Users
1,2020,All,Alabama,All,All,All,All,All,All,492293.0,504096.33333,206967.0,0.4204
2,2020,All,Alabama,All,All,All,All,All,Rural,147873.0,150932.91667,56053.0,0.3791
3,2020,All,Alabama,All,All,All,All,All,Urban,343244.0,351944.58333,150453.0,0.4383
4,2020,0-64,Alabama,All,All,All,All,0-64,All,88758.0,92947.75,40242.0,0.4534
5,2020,65-74,Alabama,All,All,All,All,65-74,All,213930.0,221638.58333,86488.0,0.4043
6,2020,75-84,Alabama,All,All,All,All,75-84,All,132394.0,133383.0,56820.0,0.4292
7,2020,85 and over,Alabama,All,All,All,All,85 and over,All,57211.0,56127.0,23417.0,0.4093
8,2020,All,Alabama,All,All,All,Aged,All,All,399871.0,407874.91667,164804.0,0.4121
9,2020,All,Alabama,All,All,All,Disabled,All,All,84012.0,88608.083333,37915.0,0.4513
10,2020,All,Alabama,All,All,All,ESRD,All,All,8410.0,7613.3333333,4248.0,0.5051
11,2020,All,Alabama,All,All,Female,All,All,All,276698.0,276573.33333,123580.0,0.4466
12,2020,All,Alabama,All,All,Male,All,All,All,215595.0,227523.0,83387.0,0.3868
13,2020,All,Alabama,All,American Indian/Alaska Native,All,All,All,All,458.0,477.33333333,249.0,0.5437
14,2020,All,Alabama,All,Asian/Pacific Islander,All,All,All,All,2661.0,2987.6666667,899.0,0.3378
15,2020,All,Alabama,All,Black/African American,All,All,All,All,87025.0,91686.916667,35679.0,0.41
16,2020,All,Alabama,All,Hispanic,All,All,All,All,4023.0,4442.0,1485.0,0.3691
17,2020,All,Alabama,All,Non-Hispanic White,All,All,All,All,392150.0,398201.33333,166246.0,0.4239
18,2020,All,Alabama,Medicare & Medicaid,All,All,All,All,All,98128.0,95725.25,41774.0,0.4257
19,2020,All,Alabama,Medicare Only,All,All,All,All,All,394165.0,408371.08333,165193.0,0.4191
96,2021,All,Alabama,All,All,All,All,All,All,450790.0,456352.16667,118555.0,0.263
97,2021,All,Alabama,All,All,All,All,All,Rural,133826.0,134982.75,32305.0,0.2414
98,2021,All,Alabama,All,All,All,All,All,Urban,315962.0,320323.66667,85990.0,0.2722
99,2021,0-64,Alabama,All,All,All,All,0-64,All,75093.0,77828.916667,24887.0,0.3314
100,2021,65-74,Alabama,All,All,All,All,65-74,All,195934.0,200342.83333,48039.0,0.2452
101,2021,75-84,Alabama,All,All,All,All,75-84,All,126262.0,126206.08333,32193.0,0.255
102,2021,85 and over,Alabama,All,All,All,All,85 and over,All,53501.0,51974.333333,13436.0,0.2511
103,2021,All,Alabama,All,All,All,Aged,All,All,372482.0,375842.08333,92544.0,0.2485
104,2021,All,Alabama,All,All,All,Disabled,All,All,71400.0,74778.5,23712.0,0.3321
105,2021,All,Alabama,All,All,All,ESRD,All,All,6908.0,5731.5833333,2299.0,0.3328
106,2021,All,Alabama,All,All,Female,All,All,All,253598.0,250765.33333,72286.0,0.285
107,2021,All,Alabama,All,All,Male,All,All,All,197192.0,205586.83333,46269.0,0.2346
108,2021,All,Alabama,All,American Indian/Alaska Native,All,All,All,All,416.0,406.91666667,155.0,0.3726
109,2021,All,Alabama,All,Asian/Pacific Islander,All,All,All,All,2621.0,2867.75,512.0,0.1953
110,2021,All,Alabama,All,Black/African American,All,All,All,All,75852.0,78749.666667,19480.0,0.2568
111,2021,All,Alabama,All,Hispanic,All,All,All,All,3938.0,4259.75,922.0,0.2341
112,2021,All,Alabama,All,Non-Hispanic White,All,All,All,All,361917.0,363793.66667,95961.0,0.2651
113,2021,All,Alabama,Medicare & Medicaid,All,All,All,All,All,85114.0,82092.916667,25290.0,0.2971
114,2021,All,Alabama,Medicare Only,All,All,All,All,All,365676.0,374259.25,93265.0,0.255
191,2022,All,Alabama,All,All,All,All,All,All,417402.0,421893.08333,82179.0,0.1969
192,2022,All,Alabama,All,All,All,All,All,Rural,121746.0,122435.5,21790.0,0.179
